conversation_id,text,sentiment,category,answered
9f1fda47-f4d0-4293-ac53-8b46ff243af4,Nişan,"sentiment = pozitif 
","konu=[Etkinlik Türüyle İlgili Kelimeler] 
",
9f1fda47-f4d0-4293-ac53-8b46ff243af4,Nişanlık beğenmiştim de onu,"sentiment=negatif 
","konu=[Nişan, Nişanlık] 
",
9f1fda47-f4d0-4293-ac53-8b46ff243af4,Fiyatı ne kadar,"sentiment=nötr 
","konu=[Fiyat] 
",
9f208c53-9dd0-4a3c-bcfc-2e880230d355,Düğün,"Sentiment = Nötr 
","konu=[Etkinlik Türüyle İlgili Kelimeler] 
",
9f208c53-9dd0-4a3c-bcfc-2e880230d355,23.08.25 pastalı olcak 600 kişi,"sentiment=nötr 
","konu=[Etkinlik Türüyle İlgili Kelimeler, Hizmet Türüyle İlgili Kelimeler, Tarih ve Zamanla İlgili Kelimeler, Kapasiteyle İlgili Kelimeler, İkram ve Menüyle İlgili Kelimeler]  
",
9f208c53-9dd0-4a3c-bcfc-2e880230d355,Konya da olacak,"sentiment=nötr 
","konu=[Mekan] 
",
9f208c53-9dd0-4a3c-bcfc-2e880230d355,100,"sentiment=nötr 
","konu=[Bütçe ve Kapasiteyle İlgili Kelimeler] 
",
9f209ce4-52c0-4749-87a6-4dd467d90ad3,merhaba,"sentiment=nötr 
","konu=[] 
",
9f209ce4-52c0-4749-87a6-4dd467d90ad3,okulumuzun mezuniyet töreni için fiyat almak istiyorum,"sentiment=pozitif 
","konu = [Etkinlik Türüyle İlgili Kelimeler, 2. Hizmet Türüyle İlgili Kelimeler] 
",
9f209ce4-52c0-4749-87a6-4dd467d90ad3,istanbul tuzla,"sentiment=nötr 
","konu=[Mekan ve Lokasyon] 
",
9f209ce4-52c0-4749-87a6-4dd467d90ad3,28-29 haziran,"sentiment=nötr 
","konu =  [Tarih ve Zamanla İlgili Kelimeler] 
",
9f209ce4-52c0-4749-87a6-4dd467d90ad3,yemek ve pasta,"Sentiment: Nötr 
","konu=[Yemek, pasta] 
",
9f209ce4-52c0-4749-87a6-4dd467d90ad3,toplamda 50 kişi,"sentiment=nötr 
","konu=[Davetli Sayısı] 
",
9f209ce4-52c0-4749-87a6-4dd467d90ad3,en düşük fiyat önerilerinizi öğrenirsem daha iyi olur,"sentiment = nötr 
","konu=[Bütçe ve Kapasiteyle İlgili Kelimeler] 


",
9f209ce4-52c0-4749-87a6-4dd467d90ad3,açık kapalı fark etmez,"sentiment=nötr 
","konu=[Mekan Türü] 
",
9f209ce4-52c0-4749-87a6-4dd467d90ad3,kapalı alan olan var mı,"sentiment=nötr 
","konu=[Mekân ve Lokasyon] 
",
9f209ce4-52c0-4749-87a6-4dd467d90ad3,tamam önerilerinizi inceleyim,"sentiment=pozitif 
","konu = [Düğün Organizasyonu, Öneriler] 
",
